,Index,\t 1000: Bullish Weak \n 250: Bullish - Weak,\t 1000: Bullish Weak \n 250: Bullish - Medium,\t 1000: Bullish Weak \n 250: Bullish - Strong,\t 1000: Bullish Weak \n 250: Bearish - Weak,\t 1000: Bullish Weak \n 250: Bearish - Medium,\t 1000: Bullish Weak \n 250: Bearish - Strong,\t 1000: Bullish Medium \n 250: Bullish - Weak,\t 1000: Bullish Medium \n 250: Bullish - Medium,\t 1000: Bullish Medium \n 250: Bullish - Strong,\t 1000: Bullish Medium \n 250: Bearish - Weak,\t 1000: Bullish Medium \n 250: Bearish - Medium,\t 1000: Bullish Medium \n 250: Bearish - Strong,\t 1000: Bullish Strong \n 250: Bullish - Weak,\t 1000: Bullish Strong \n 250: Bullish - Medium,\t 1000: Bullish Strong \n 250: Bullish - Strong,\t 1000: Bullish Strong \n 250: Bearish - Weak,\t 1000: Bullish Strong \n 250: Bearish - Medium,\t 1000: Bullish Strong \n 250: Bearish - Strong,\t 1000: Bearish Weak \n 250: Bullish - Weak,\t 1000: Bearish Weak \n 250: Bullish - Medium,\t 1000: Bearish Weak \n 250: Bullish - Strong,\t 1000: Bearish Weak \n 250: Bearish - Weak,\t 1000: Bearish Weak \n 250: Bearish - Medium,\t 1000: Bearish Weak \n 250: Bearish - Strong,\t 1000: Bearish Medium \n 250: Bullish - Weak,\t 1000: Bearish Medium \n 250: Bullish - Medium,\t 1000: Bearish Medium \n 250: Bullish - Strong,\t 1000: Bearish Medium \n 250: Bearish - Weak,\t 1000: Bearish Medium \n 250: Bearish - Medium,\t 1000: Bearish Medium \n 250: Bearish - Strong,\t 1000: Bearish Strong \n 250: Bullish - Weak,\t 1000: Bearish Strong \n 250: Bullish - Medium,\t 1000: Bearish Strong \n 250: Bullish - Strong,\t 1000: Bearish Strong \n 250: Bearish - Weak,\t 1000: Bearish Strong \n 250: Bearish - Medium,\t 1000: Bearish Strong \n 250: Bearish - Strong,"Check 
 (sum of row)"
0,\t 1000: Bullish Weak \n 250: Bullish - Weak,65.14%,7.94%,0.11%,10.44%,0.1%,0.0%,3.2%,3.33%,0.31%,0.01%,0.0%,0.0%,0.0%,0.0%,0.01%,0.0%,0.0%,0.0%,2.93%,0.0%,0.0%,3.92%,0.31%,0.01%,0.0%,0.0%,0.0%,0.0%,0.01%,0.02%,0.0%,0.0%,0.0%,0.0%,0.0%,0.01%,97.81
1,\t 1000: Bullish Weak \n 250: Bullish - Medium,20.19%,55.0%,6.71%,0.27%,0.01%,0.0%,0.06%,4.84%,5.07%,0.0%,0.0%,0.0%,0.0%,0.0%,0.02%,0.0%,0.0%,0.0%,4.93%,1.35%,0.0%,0.7%,0.06%,0.0%,0.0%,0.0%,0.0%,0.0%,0.01%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.02%,99.25
2,\t 1000: Bullish Weak \n 250: Bullish - Strong,1.48%,19.74%,56.25%,0.02%,0.0%,0.0%,0.0%,0.11%,14.57%,0.0%,0.0%,0.0%,0.0%,0.0%,0.13%,0.0%,0.0%,0.0%,1.42%,3.73%,1.89%,0.11%,0.0%,0.0%,0.0%,0.0%,0.0%,0.01%,0.01%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,99.48
3,\t 1000: Bullish Weak \n 250: Bearish - Weak,13.0%,0.1%,0.0%,62.18%,6.89%,0.13%,3.18%,0.3%,0.02%,1.71%,0.0%,0.0%,0.0%,0.0%,0.01%,0.0%,0.0%,0.0%,0.03%,0.0%,0.0%,5.2%,4.22%,0.31%,0.0%,0.0%,0.0%,0.0%,0.0%,0.01%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,97.29
4,\t 1000: Bullish Weak \n 250: Bearish - Medium,0.46%,0.0%,0.0%,22.75%,49.36%,5.65%,0.81%,0.02%,0.0%,4.57%,1.05%,0.0%,0.02%,0.01%,0.0%,0.0%,0.0%,0.0%,0.01%,0.0%,0.0%,0.09%,7.79%,6.12%,0.0%,0.0%,0.0%,0.0%,0.0%,0.04%,0.0%,0.0%,0.0%,0.0%,0.0%,0.01%,98.78
5,\t 1000: Bullish Weak \n 250: Bearish - Strong,0.0%,0.0%,0.0%,1.66%,20.2%,52.23%,0.09%,0.01%,0.0%,1.52%,3.41%,1.64%,0.0%,0.03%,0.05%,0.01%,0.04%,0.0%,0.0%,0.0%,0.0%,0.0%,0.15%,17.66%,0.0%,0.0%,0.0%,0.0%,0.0%,0.15%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,98.85
6,\t 1000: Bullish Medium \n 250: Bullish - Weak,6.51%,0.01%,0.0%,5.86%,0.43%,0.01%,59.99%,11.81%,0.21%,8.31%,0.11%,0.0%,1.79%,3.23%,0.39%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.01%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.01%,0.0%,0.0%,0.0%,0.0%,0.0%,0.01%,98.7
7,\t 1000: Bullish Medium \n 250: Bullish - Medium,7.71%,3.08%,0.01%,0.76%,0.02%,0.0%,16.42%,55.97%,9.68%,0.22%,0.0%,0.0%,0.04%,2.74%,3.19%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.01%,0.01%,0.01%,0.0%,0.0%,0.0%,0.0%,0.0%,0.01%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,99.87
8,\t 1000: Bullish Medium \n 250: Bullish - Strong,1.65%,5.44%,2.45%,0.07%,0.01%,0.0%,0.8%,14.65%,66.33%,0.0%,0.0%,0.0%,0.0%,0.07%,8.32%,0.0%,0.0%,0.0%,0.06%,0.01%,0.01%,0.05%,0.03%,0.0%,0.0%,0.0%,0.01%,0.0%,0.0%,0.01%,0.0%,0.0%,0.0%,0.0%,0.0%,0.01%,99.97
9,\t 1000: Bullish Medium \n 250: Bearish - Weak,0.05%,0.0%,0.0%,8.27%,6.72%,0.71%,16.34%,0.25%,0.0%,53.73%,7.17%,0.12%,3.25%,0.6%,0.02%,1.27%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.02%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.01%,98.53
